MOVEMENT_ID,mean_coordinate
780,[-118.51596593   34.25508227]
781,[-118.49281834   34.25666208]
782,[-118.58981447   34.26815043]
783,[-118.56354069   34.26758733]
784,[-118.6102306    34.22807996]
785,[-118.6036088    34.22858093]
786,[-118.59202711   34.22658108]
787,[-118.61703425   34.24546598]
788,[-118.56085991   34.24479202]
789,[-118.57437451   34.24140674]
790,[-118.593677     34.25369413]
791,[-118.56464114   34.25320243]
792,[-118.56338305   34.23100405]
793,[-118.58762217   34.23532122]
794,[-118.58693752   34.2239467 ]
795,[-118.51333433   34.23795747]
796,[-118.52690533   34.24741829]
797,[-118.52212624   34.23677835]
798,[-118.54018076   34.24395656]
799,[-118.54055746   34.23311195]
800,[-118.54607383   34.24047362]
801,[-118.54837517   34.22672942]
802,[-118.51490367   34.22385167]
803,[-118.53316558   34.22736508]
804,[-118.54378      34.22656546]
805,[-118.45915121   34.23883871]
806,[-118.456057     34.24588581]
807,[-118.47134894   34.24501429]
808,[-118.47405688   34.24501459]
809,[-118.49213053   34.24261263]
810,[-118.49779918   34.2321428 ]
811,[-118.49419248   34.22438785]
812,[-118.477561     34.22745388]
